City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,new norfolk,-42.7826,147.0587,283.08,93,100,1.51,AU,1691699114
83,yuzhno-kurilsk,44.0306,145.8556,293.19,97,100,5.06,RU,1691699114
84,college,64.8569,-147.8028,294.37,88,100,1.54,US,1691699115
85,papao,-17.75,-149.55,298.97,66,54,8.75,PF,1691699116
86,saddiqabad,28.3062,70.1307,306.07,52,100,8.88,PK,1691699116
87,whitehorse,60.7161,-135.0538,292.65,50,75,4.02,CA,1691698965
88,punta arenas,-53.15,-70.9167,276.97,72,100,6.86,CL,1691699117
89,guercif,34.2257,-3.3536,309.13,24,64,3.22,MA,1691699118
90,mhamid,29.82,-5.72,312.4,8,6,4.39,MA,1691699118
91,port douglas,-16.4833,145.4667,294.23,77,98,5.72,AU,1691699119
92,west island,-12.1568,96.8225,298.14,88,40,6.17,CC,1691699120
93,margaret river,-33.95,115.0667,285.64,74,96,2.32,AU,1691699120
94,torghay,49.6339,63.4981,294.98,53,19,6.37,KZ,1691699121
95,rouyn-noranda,48.2398,-79.0288,293.2,60,75,4.63,CA,1691699055
96,basawul,34.2475,70.8722,307.5,47,0,2.59,AF,1691699122
97,champerico,14.3,-91.9167,308.45,69,91,5.12,GT,1691699123
98,saipan,15.1355,145.701,299.54,100,100,6.26,MP,1691699123
99,olonkinbyen,70.9221,-8.7187,280.1,97,100,5.19,SJ,1691699125
100,lebu,-37.6167,-73.65,283.64,80,54,6.57,CL,1691699125
101,klyuchi,52.2667,79.1667,290.38,91,97,4.29,RU,1691699126
102,aqaba,29.5267,35.0078,307.07,27,0,4.12,JO,1691699126
103,utrik,11.2278,169.8474,300.89,70,15,5.36,MH,1691699127
104,hegang,47.4,130.3667,288.49,98,100,2.83,CN,1691699128
105,concepcion,-36.827,-73.0498,286.04,76,75,6.17,CL,1691699128
106,hithadhoo,-0.6,73.0833,300.72,79,88,4.57,MV,1691699129
107,kavaratti,10.5669,72.642,301.23,77,100,7.51,IN,1691699129
108,fort bragg,35.139,-79.006,305.83,60,40,5.66,US,1691699130
109,sitka,57.0531,-135.33,289.09,82,100,1.54,US,1691699131
110,iskateley,67.6803,53.1512,284.14,78,6,2.85,RU,1691698885
111,guerrero negro,27.9769,-114.0611,299.94,61,6,7.32,MX,1691699132
112,daru,-9.0763,143.2092,296.88,76,96,7.68,PG,1691699132
113,vadso,70.0744,29.7487,295.64,82,0,2.06,NO,1691699133
114,lorengau,-2.0226,147.2712,300.63,78,100,6.53,PG,1691699133
115,arecibo,18.4724,-66.7157,306.46,81,67,5.15,PR,1691699134
116,cadale,2.7603,46.3222,298.0,84,79,7.47,SO,1691699135
117,saint-philippe,-21.3585,55.7679,292.92,82,21,1.51,RE,1691699136
118,cabedelo,-6.9811,-34.8339,299.52,80,7,7.15,BR,1691699136
119,neiafu,-18.65,-173.9833,298.53,83,75,2.57,TO,1691699137
120,guarapari,-20.6667,-40.4975,296.42,82,11,6.58,BR,1691699138
121,santa marta,11.2408,-74.199,305.18,73,75,3.09,CO,1691699049
122,tazovsky,67.4667,78.7,280.52,66,1,9.23,RU,1691699139
123,jamestown,42.097,-79.2353,299.83,50,40,6.69,US,1691698876
124,bilibino,68.0546,166.4372,282.65,81,100,1.83,RU,1691699140
125,brookings,44.3114,-96.7984,301.58,72,40,7.2,US,1691699141
126,bredasdorp,-34.5322,20.0403,286.53,72,0,1.03,ZA,1691699141
127,fada,9.5667,8.3,292.87,97,100,0.41,NG,1691699142
128,dabola,10.75,-11.1167,295.69,97,100,2.13,GN,1691699143
129,kisii,-0.6817,34.7667,287.9,94,75,1.41,KE,1691699143
130,kaohsiung,22.6163,120.3133,301.12,93,75,2.06,TW,1691699144
131,katsuura,35.1333,140.3,298.97,89,3,3.83,JP,1691699144
132,flying fish cove,-10.4217,105.6791,296.97,88,75,4.12,CX,1691699145
133,hinton,53.4001,-117.5857,293.7,31,97,5.76,CA,1691699041
134,pisco,-13.7,-76.2167,295.18,64,20,7.72,PE,1691699084
135,kodiak,57.79,-152.4072,285.88,88,100,3.09,US,1691699147
136,manadhoo,5.7667,73.3833,301.44,76,98,7.79,MV,1691699148
137,champua,22.0833,85.6667,298.86,72,100,2.22,IN,1691699149
138,quang ngai,15.1167,108.8,298.71,83,65,2.48,VN,1691699149
139,forster,-32.1667,152.5167,283.47,68,0,3.71,AU,1691699150
140,dauphin,51.1494,-100.0502,287.23,94,100,3.09,CA,1691699150
141,port isabel,26.0734,-97.2086,310.17,59,20,10.8,US,1691699151
142,marquard,-28.6645,27.4305,281.21,51,0,1.31,ZA,1691699152
143,st. john's,47.5649,-52.7093,295.19,89,75,4.12,CA,1691699152
144,vilyuchinsk,52.9306,158.4028,283.3,79,48,1.65,RU,1691699153
145,stanley,54.868,-1.6985,293.55,83,0,1.54,GB,1691699153
146,lihue,21.9789,-159.3672,301.73,70,75,6.69,US,1691699154
147,abepura,-2.6333,140.5833,297.6,83,40,1.03,ID,1691699154
148,tura,25.5198,90.2201,297.07,98,100,2.04,IN,1691699155
149,korsakov,46.6328,142.7813,288.06,94,100,4.2,RU,1691699155
150,luderitz,-26.6481,15.1594,293.73,50,5,1.38,NA,1691699156
151,ust-nera,64.5667,143.2,290.43,59,9,0.6,RU,1691699156
152,vilyuysk,63.7553,121.6247,285.75,78,13,2.73,RU,1691699157
153,savoy,45.5,6.4167,290.82,10,25,2.01,FR,1691699158
154,chita,52.0333,113.55,289.09,100,75,1.0,RU,1691698989
155,papatowai,-46.5619,169.4708,275.74,85,100,2.79,NZ,1691699159
156,sinop,41.7711,34.8709,291.95,94,68,0.4,TR,1691699159
157,piacabucu,-10.4056,-36.4344,296.7,86,26,4.7,BR,1691699160
158,charters towers,-20.1,146.2667,286.44,92,3,3.47,AU,1691699160
159,isafjordur,66.0755,-23.124,281.29,75,100,4.27,IS,1691699162
160,nadym,65.5333,72.5167,279.67,82,0,9.08,RU,1691699162
161,ried im innkreis,48.2112,13.4886,289.18,70,0,1.75,AT,1691699163
162,opuwo,-18.0607,13.84,292.34,32,0,2.99,NA,1691699164
163,moses lake,47.1301,-119.2781,300.53,34,0,4.63,US,1691699164
164,onega,63.9061,38.1404,290.16,97,24,0.76,RU,1691699165
165,tual,-5.6667,132.75,298.66,80,63,9.07,ID,1691699166
166,al-hamdaniya,36.2715,43.3737,311.35,13,0,3.36,IQ,1691699166
167,akureyri,65.6835,-18.0878,282.11,76,40,5.14,IS,1691699167
168,danilovka,50.3557,44.1168,299.38,34,100,5.35,RU,1691699168
169,lompoc,34.6391,-120.4579,300.38,84,100,1.54,US,1691699168
170,prado,-17.3411,-39.2208,296.45,72,58,3.2,BR,1691699169
171,nova sintra,14.8667,-24.7167,295.97,75,23,8.03,CV,1691699170
172,warrenton,-28.114,24.8475,286.4,33,88,3.2,ZA,1691699170
173,matoury,4.8483,-52.3317,304.13,66,37,5.66,GF,1691699171
174,sabha,27.0377,14.4283,303.14,23,0,4.33,LY,1691699172
175,kirensk,57.7853,108.1119,290.07,98,100,2.12,RU,1691699172
176,tobelo,1.7284,128.0095,298.58,84,97,3.36,ID,1691699173
177,nuuk,64.1835,-51.7216,282.49,81,75,1.03,GL,1691699174
178,mitsamiouli,-11.3847,43.2844,297.92,69,0,5.3,KM,1691699174
179,makhambet,47.6667,51.5833,301.64,28,2,4.21,KZ,1691699175
180,wanning,18.8003,110.3967,300.61,81,98,3.9,CN,1691699175
181,vyaz'ma,55.2104,34.2951,287.94,62,100,1.97,RU,1691699176
182,zabaykal'sk,49.6333,117.3167,291.19,76,100,1.85,RU,1691699177
183,aripuana,-9.1667,-60.6333,311.12,21,93,1.59,BR,1691699177
184,palmer,42.1584,-72.3287,296.93,68,100,4.43,US,1691699178
185,westport,41.1415,-73.3579,297.45,87,100,5.14,US,1691699093
186,banamba,13.55,-7.45,300.4,68,70,3.39,ML,1691699179
187,leticia,-4.2153,-69.9406,304.18,66,20,2.57,CO,1691699179
188,minas de marcona,-15.2119,-75.1103,289.21,71,13,8.11,PE,1691699180
189,shakawe,-18.3667,21.85,289.41,30,0,2.91,BW,1691699180
190,nova vicosa,-17.8919,-39.3719,296.84,68,65,4.08,BR,1691699182
191,kapit,2.0167,112.9333,296.13,97,90,0.52,MY,1691699183
192,hawaiian paradise park,19.5933,-154.9731,299.67,87,100,0.0,US,1691699184
193,praia da vitoria,38.7333,-27.0667,297.46,83,40,3.19,PT,1691699184
194,byron bay,-28.65,153.6167,284.1,73,0,2.45,AU,1691699185
195,mazagao,-0.115,-51.2894,305.18,58,72,2.69,BR,1691699185
196,jayapura,-2.5333,140.7,297.81,92,81,2.9,ID,1691699186
197,santiago de cao,-7.9589,-79.2392,295.22,83,75,5.14,PE,1691699187
198,freetown,8.484,-13.2299,297.99,88,75,4.12,SL,1691699187
199,chonchi,-42.6128,-73.8092,281.71,84,100,4.0,CL,1691699188
200,constitucion,-35.3333,-72.4167,284.97,86,99,3.85,CL,1691699188
201,san andres,12.5847,-81.7006,304.16,74,20,5.66,CO,1691699189
202,jaltenango de la paz,15.9167,-92.7167,299.45,64,22,1.27,MX,1691699189
203,northam,51.0333,-4.2167,292.81,88,95,5.85,GB,1691699190
204,anadyr,64.75,177.4833,282.43,81,75,5.0,RU,1691699191
205,afaahiti,-17.75,-149.2833,298.08,66,61,7.82,PF,1691699191
206,valparaiso,-33.0393,-71.6273,289.95,78,75,4.12,CL,1691699192
207,taos,36.4072,-105.5731,304.8,23,20,5.14,US,1691699193
208,saint john's,47.5649,-52.7093,295.19,89,75,4.12,CA,1691698910
209,howrah,22.5892,88.3103,302.15,84,75,3.09,IN,1691699194
210,ponta delgada,37.7333,-25.6667,296.55,83,75,3.09,PT,1691699195
211,umm kaddadah,13.6017,26.6876,305.69,38,2,3.01,SD,1691699195
212,tralee,52.2704,-9.7026,288.8,94,43,2.8,IE,1691699196
213,san luis,-33.295,-66.3356,292.3,30,11,6.73,AR,1691699088
214,amga,60.8953,131.9608,285.75,98,1,1.18,RU,1691699197
215,hasaki,35.7333,140.8333,300.54,88,10,4.68,JP,1691699197
216,yemva,62.59,50.8594,290.25,74,0,1.96,RU,1691699198
217,torreperogil,38.0345,-3.2307,305.35,18,2,2.49,ES,1691699198
218,tazacorte,28.629,-17.9293,298.69,73,0,8.23,ES,1691699199
219,dietmannsried,47.8,10.2833,290.7,90,7,1.64,DE,1691699199
220,kaka,37.3482,59.6143,304.36,18,0,2.98,TM,1691699129
221,umarkot,25.3616,69.7362,302.44,65,18,7.76,PK,1691699200
222,nar'yan-mar,67.6713,53.087,284.21,79,6,2.88,RU,1691699201
223,ulanhot,46.0833,122.0833,289.29,94,98,2.87,CN,1691699202
224,gao,16.6362,1.637,307.07,39,15,4.66,ML,1691699202
225,aykhal,66.0,111.5,288.29,86,100,2.16,RU,1691699203
226,quartu sant'elena,39.2419,9.1839,298.73,77,0,2.06,IT,1691699204
227,kodinar,20.7903,70.7031,299.91,81,100,5.55,IN,1691699204
228,pizarro,4.9533,-77.366,302.0,76,95,4.26,CO,1691699205
229,dipayal,29.2608,80.94,298.0,94,72,1.03,NP,1691699205
230,miryang,35.4933,128.7489,297.1,98,16,1.52,KR,1691699113
231,ceeldheer,3.8488,47.1806,297.77,85,72,8.24,SO,1691699206
232,los llanos de aridane,28.6585,-17.9182,297.01,73,0,8.23,ES,1691699207
233,kirakira,-10.4544,161.9205,297.58,85,100,6.72,SB,1691699207
234,usinsk,65.9939,57.5281,286.07,69,0,3.69,RU,1691699208
235,hammerfest,70.6634,23.6821,298.4,53,0,4.12,NO,1691699208
236,thompson,55.7435,-97.8558,292.24,48,75,1.54,CA,1691699195
